,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2)
06/19/2023 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,28.07,3.49,228.18,80.26,468.21
06/19/2023 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,26.64,2.66,79.83,37.94,313.04
06/19/2023 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,24.84,2.6,2.29,1.95,0.0
06/19/2023 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,23.47,2.9,0.0,0.0,0.0
06/20/2023 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,23.63,3.19,0.0,0.0,0.0
06/20/2023 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,22.56,3.18,0.0,0.0,0.0
06/20/2023 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,21.68,3.17,0.0,0.0,0.0
06/20/2023 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,21.23,3.42,0.0,0.0,0.0
06/20/2023 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,20.5,3.58,0.0,0.0,0.0
06/20/2023 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,19.89,3.66,0.0,0.0,0.0
06/20/2023 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,19.18,3.48,0.0,0.0,0.0
06/20/2023 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,19.15,4.21,15.34,11.02,0.0
06/20/2023 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,20.26,4.44,120.13,65.29,274.99
06/20/2023 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,21.54,4.82,272.89,121.62,396.47
06/20/2023 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,23.79,4.74,464.85,142.63,580.35
06/20/2023 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,26.47,4.86,663.45,118.7,768.74
06/20/2023 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,28.14,5.25,814.76,106.21,852.29
06/20/2023 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,29.66,5.61,911.48,110.49,875.41
06/20/2023 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,30.7,6.18,939.59,116.44,862.97
06/20/2023 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,30.91,6.26,818.37,135.64,722.22
06/20/2023 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,31.22,6.78,815.12,175.71,718.47
06/20/2023 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,31.22,7.26,692.42,122.29,720.31
06/20/2023 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,29.8,7.23,549.06,92.4,695.35
06/20/2023 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,29.06,7.49,344.23,98.24,497.17
06/20/2023 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,27.73,6.89,221.29,70.11,477.39
06/20/2023 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,26.6,6.35,77.12,33.39,324.89
06/20/2023 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,24.84,6.04,2.29,1.9,0.0
06/20/2023 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,23.48,5.82,0.0,0.0,0.0
