,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2)
02/21/2025 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-3.78,2.44,10.8,5.5,0.0
02/21/2025 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-4.23,2.89,0.0,0.0,0.0
02/21/2025 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-5.52,3.48,0.0,0.0,0.0
02/21/2025 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-6.27,3.58,0.0,0.0,0.0
02/21/2025 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-6.87,3.61,0.0,0.0,0.0
02/22/2025 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-7.15,3.67,0.0,0.0,0.0
02/22/2025 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-7.37,3.55,0.0,0.0,0.0
02/22/2025 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-7.26,3.64,0.0,0.0,0.0
02/22/2025 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-7.59,3.76,0.0,0.0,0.0
02/22/2025 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-7.8,3.51,0.0,0.0,0.0
02/22/2025 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-9.36,2.73,0.0,0.0,0.0
02/22/2025 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-9.58,2.59,0.0,0.0,0.0
02/22/2025 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-9.63,2.66,0.0,0.0,0.0
02/22/2025 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-9.49,3.04,9.4,4.91,0.0
02/22/2025 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-6.74,3.72,144.06,42.63,592.08
02/22/2025 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-4.6,4.34,336.07,66.4,789.77
